1.979998, -1, 0, 5, 0, 0.091434599132435008110, 310.893, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.60886, 0.3020116, 0.2679502, 0.0001962442
 
1.989998, 1, -0.01, 5, 0, 0.0922654491861263353614, 306.0081, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.43075, 0.3020116, 0.2679502, 0.0001962442
 
1.999998, -1, 0, 5, 0, 0.0931052413573911905684591162, 301.196, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.25389, 0.3020116, 0.2679502, 0.0001962442
 
2.009999, 1, -0.01, 5, 0, 0.0939541782184719023754, 296.4552, -511.6669, -5.557111, 0.000483026, 0.02479935, 22.07826, 0.3020116, 0.2679502, 0.0001962442
 
2.019999, -1, 0, 5, 0, 0.0948127372610839884378, 291.7847, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.90386, 0.3020116, 0.2679502, 0.0001962442
 
2.029999, 1, -0.01, 5, 0, 0.0956807448518763645804, 287.183, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.73064, 0.3020116, 0.2679502, 0.0001962442
 
2.039999, -1, 0, 5, 0, 0.0965585916658884999405408838, 282.649, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.55862, 0.3020116, 0.2679502, 0.0001962442
 
2.049999, 1, -0.01, 5, 0, 0.0974462921725667402250, 278.1814, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.38775, 0.3020116, 0.2679502, 0.0001962442
 
2.059999, -1, 0, 5, 0, 0.0983441212913829721950, 273.7791, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.21803, 0.3020116, 0.2679502, 0.0001962442
 
2.069999, 1, -0.01, 5, 0, 0.0992523684112555730130, 269.4409, -511.6669, -5.557111, 0.000483026, 0.02479935, 21.04943, 0.3020116, 0.2679502, 0.0001962442
 
2.079998, -1, 0, 5, 0, 0.1001710335321846873734591162, 265.1658, -511.6669, -5.557111, 0.000483026, 0.02479935, 20.88196, 0.3020116, 0.2679502, 0.0001962442
